aadhaar,name,death_date
183526668658,Kiran Desai,2024-12-11
831489680540,Ramesh Patel,2024-02-10
797437616018,Mahesh Shah,2024-05-30
591710788070,Amit Joshi,2025-07-27
481723443619,Ramesh Patel,2023-08-30
686940745760,Mahesh Shah,2024-08-03
283863579342,Ramesh Patel,2023-09-13
537159481144,Amit J.,2023-02-17
919838928418,Rameshbhai Patel,2025-08-28
926877771984,Amit Joshi,2023-10-05
815584636395,Ramesh Patel,2025-08-23
554763785828,Ramesh Patel,2024-08-02
367471854522,Mahesh Shah,2025-12-10
384476715606,Amitbhai Joshi,2023-12-06
175776547955,Ramesh Patel,2024-08-06
664735978621,Suresh Patel,2025-05-20
211845093731,Suresh Patel,2023-02-03
137497707355,Mahesh Shah,2025-11-14
168097053129,Mahesh Shah,2025-01-24
125502509040,Rmsh Patel,2025-12-17
302409027491,Amit Joshi,2023-10-09
312351687874,Sureshbhai Patel,2023-12-16
904841879271,Mahesh Shah,2024-06-22
668476443770,Ramesh Patel,2023-01-10
608804542302,Kiran Desai,2024-02-02
131027029682,Suresh Ptl,2023-08-16
546210935043,Ramesh Patel,2023-05-24
745026796148,Suresh Patel,2024-07-03
141610248743,Sureshbhai Patel,2023-03-05
919807367976,Kiran Desai,2024-01-27
178234882321,Ramesh Patel,2025-09-01
334318120904,Amit Joshi,2023-12-11
279362655022,Suresh Patel,2025-02-03
818977535272,Amit Joshi,2023-03-23
693173665196,Mahesh Shah,2025-05-17
554962080874,Mahesh Shah,2025-07-29
635069240179,Sureshbhai Patel,2025-04-14
171131704697,Amit Joshi,2024-05-02
441388837722,Mahesh Shah,2023-01-07
720582471593,Ramesh Ptl,2024-05-13
982083983564,Kiran D.,2024-04-18
405180563782,Kiran Desai,2025-01-03
291538444761,Kiran Desai,2024-08-06
796190768366,Amitbhai Joshi,2024-04-23
320332838349,Suresh Patel,2023-11-29
615689362779,Mahesh Shah,2023-01-16
536864327271,Mahesh Shah,2024-01-06
749810458909,Amit Joshi,2025-09-02
661278377127,Ramesh Patel,2023-12-01
131897656836,Amit Joshi,2025-08-05
741791220985,Ramesh Patel,2024-10-03
859010511026,Ramesh Patel,2024-09-01
680466016861,Ramesh Patel,2023-07-05
737398081861,Ramesh Patel,2024-08-01
596723833178,Suresh Patel,2025-09-26
245926981142,Ramesh Patel,2023-02-23
602911715352,Ramesh Patel,2025-10-07
715310215056,Kiranben Desai,2023-03-20
620920263757,Amit Joshi,2025-02-11
330277857202,Rameshbhai Patel,2025-09-26
947008488741,Ramesh Patel,2024-05-04
664730770692,Amit Joshi,2024-08-31
146794506778,Amit Joshi,2024-11-02
766021044959,Ramesh Patel,2025-11-11
113251012329,Amit Joshi,2024-07-02
602483296445,Amit Joshi,2025-08-07
792923972217,Amit J.,2025-01-08
436798347568,Amit Joshi,2025-08-29
352975736581,Mahesh Shah,2024-03-11
158078116602,Suresh Patel,2023-10-04
760783979455,Kiran Desai,2023-06-12
215892366739,Ramesh Patel,2025-07-23
767010750995,Mahesh Shah,2023-09-02
324979134873,Amit Joshi,2025-12-08
641715531081,Kiran Desai,2023-01-06
273243373436,Suresh Patel,2023-05-19
350583963423,Kiran Desai,2025-11-01
329015694073,Amit Joshi,2025-06-08
588637983739,Suresh Patel,2025-06-28
967464532607,Ramesh Patel,2024-04-22
391761620090,Amit Joshi,2024-01-08
425865803927,Amit Joshi,2023-06-02
669127177488,Suresh Patel,2025-06-28
935078505329,Kiran Desai,2024-10-21
507465823039,Amit Joshi,2024-10-05
104688044575,Kiran Desai,2024-07-01
716037382934,Amit Joshi,2024-01-02
111940719679,Rameshbhai Patel,2025-07-17
707215720248,Ramesh Patel,2024-09-22
584796401486,Mahesh Shah,2025-04-10
258094693066,Suresh Patel,2025-06-04
753373712306,Rmsh Patel,2024-09-25
551169659023,Ramesh Patel,2024-08-05
484085722933,Kiranben Desai,2025-07-23
416345026217,Kiran Desai,2024-09-08
632652391890,Suresh Patel,2024-05-26
778464528046,Mahesh Shah,2024-09-30
741497450615,Kiran Desai,2025-03-05
968191536603,Amit Joshi,2025-12-26
364052616443,Ramesh Patel,2024-09-20
838195565544,Suresh Patel,2025-07-13
520490086018,Amit Joshi,2023-02-21
846594206894,Kiran Desai,2025-07-02
549957798215,Ramesh Patel,2025-08-22
533436397258,Amit Joshi,2025-02-07
951509426882,Kiran Desai,2025-05-30
728474246029,Ramesh Patel,2024-12-15
947229361142,Rmsh Patel,2024-02-24
129592926462,Amit Joshi,2024-11-23
616560332582,Rameshbhai Patel,2023-06-18
867461651763,Kiran Desai,2025-07-19
458431360608,Amit Joshi,2023-03-08
243015400709,Ramesh Patel,2024-06-03
103398262106,Suresh Ptl,2024-07-05
676630519771,Mahesh Shah,2025-09-04
995006891757,Rmsh Patel,2023-10-25
161228740210,Suresh Patel,2024-01-25
660687980971,Amit Joshi,2023-08-31
443404333135,Ramesh Patel,2024-12-28
686470901868,Kiran Desai,2025-12-02
616705761167,Suresh Patel,2024-06-17
570277354694,Amit J.,2023-03-04
141973042071,Kiran Desai,2025-05-16
563350510856,Suresh Ptl,2023-07-30
290984307421,Kiran Desai,2023-06-29
316391199366,Kiran Desai,2024-07-30
279306276391,Suresh Patel,2024-09-25
699778057467,Kiran Desai,2025-09-04
342969934626,Ramesh Patel,2024-11-20
674080462971,Ramesh Patel,2025-01-13
633652786403,Suresh Patel,2023-06-09
150613340289,Suresh Patel,2023-04-12
427376204765,Amit Joshi,2024-06-25
956824823153,Ramesh Patel,2024-09-18
331429796466,Ramesh Patel,2023-10-06
947653133021,Suresh Patel,2023-03-03
923450706877,Suresh Patel,2023-02-08
332093913811,Rmsh Patel,2023-03-27
202734744508,Amit Joshi,2023-03-09
952825301608,Ramesh Patel,2024-11-07
115761083524,Mahesh Shah,2024-06-12
521635933760,Mahesh Shah,2023-09-03
933367301056,Mahesh S.,2025-03-01
753206795115,Suresh Patel,2025-07-26
326284477199,Ramesh Patel,2024-12-17
277964071597,Kiran Desai,2025-08-16
152863102963,Kiran Desai,2025-04-29
804712803192,Kiran Desai,2024-06-16
322680950797,Ramesh Patel,2024-04-14
257777598125,Ramesh Patel,2025-11-15
283683185301,Kiran Desai,2024-05-24
435228346659,Suresh Patel,2024-02-17
277534576130,Suresh Patel,2025-07-16
381769543314,Ramesh Patel,2024-10-04
490891707303,Amit Joshi,2025-12-19
276466188681,Kiran Desai,2025-03-12
821330301612,Mahesh Shah,2024-01-13
646606921329,Amit Joshi,2025-10-04
404181308125,Amit Joshi,2023-08-22
300850022770,Ramesh Patel,2024-12-27
135488097853,Ramesh Patel,2023-05-28
342310065496,Sureshbhai Patel,2025-10-04
335375432987,Mahesh Shah,2023-05-13
537355524230,Ramesh Patel,2024-04-09
597848350946,Ramesh Patel,2023-02-07
619124540849,Kiran Desai,2025-04-05
433858663857,Amit Joshi,2024-11-26
555317105711,Amit Joshi,2025-01-19
155156951565,Ramesh Patel,2024-06-03
769344229978,Suresh Patel,2024-04-29
254000576805,Amit J.,2024-06-26
304978075023,Amit Joshi,2023-01-25
278173207083,Mahesh Shah,2024-11-24
117667201068,Ramesh Ptl,2025-04-04
194788771765,Ramesh Patel,2025-12-31
239444427980,Amit J.,2025-10-01
762161780194,Kiran Desai,2023-12-30
854245888147,Rameshbhai Patel,2024-12-08
788255009810,Ramesh Patel,2024-07-15
136456425006,Mahesh Shah,2025-05-14
168933822859,Amit Joshi,2025-04-23
733003140738,Maheshbhai Shah,2024-01-02
381309470795,Mahesh Shah,2025-02-11
510043387222,Kiran Desai,2024-09-22
848775131817,Mahesh Shah,2025-01-10
508267241942,Kiran D.,2024-02-04
777891408058,Suresh Patel,2025-11-23
443009149014,Kiran Desai,2024-03-31
744367190914,Suresh Patel,2025-11-11
483715452578,Mahesh Shah,2023-01-02
628484508291,Suresh Patel,2024-01-21
495749562877,Mahesh Shah,2023-11-29
901933512379,Suresh Patel,2023-08-22
655080451102,Suresh Patel,2024-03-14
396464019232,Amit Joshi,2024-03-01
407750507286,Amit Joshi,2025-12-31
869588436875,Mahesh Shah,2025-01-14
277285272823,Amit Joshi,2023-01-23
931001694902,Amit Joshi,2025-04-23
899814274979,Mahesh Shah,2025-10-07
217757071701,Ramesh Patel,2023-01-30
461530333598,Mahesh Shah,2023-11-25
678324776666,Amit Joshi,2023-03-18
284255780251,Suresh Patel,2024-12-08
921979060400,Suresh Patel,2023-11-25
488982913143,Ramesh Patel,2024-07-06
492365824473,Ramesh Patel,2024-04-12
691770054916,Ramesh Patel,2024-01-18
470714412569,Mahesh Shah,2025-07-18
968673868068,Ramesh Patel,2023-01-17
695363787127,Mahesh Shah,2023-05-19
527824262791,Ramesh Ptl,2023-09-08
738115067332,Ramesh Patel,2025-11-25
561635199428,Amit Joshi,2024-11-14
283087208678,Suresh Patel,2025-08-01
398219420346,Amit Joshi,2025-12-28
794585729327,Amit Joshi,2023-07-16
180496716096,Kiran Desai,2024-03-04
965296481747,Suresh Patel,2024-11-17
133209496986,Amit J.,2024-09-29
655116675959,Amitbhai Joshi,2024-02-04
749366572700,Mahesh S.,2025-09-23
989090293683,Amit Joshi,2025-07-05
973197109546,Amitbhai Joshi,2023-03-17
419314246611,Amit Joshi,2023-04-03
672250516961,Mahesh S.,2023-07-06
250736353902,Mahesh Shah,2025-05-13
930347758475,Amit Joshi,2024-08-23
570648352358,Ramesh Patel,2025-08-25
464688755563,Amit Joshi,2025-12-28
633997720072,Mahesh Shah,2024-01-27
675757188903,Kiran Desai,2024-07-06
690592330657,Mahesh Shah,2025-04-28
268763849459,Kiran Desai,2023-12-26
911845453164,Ramesh Patel,2024-05-19
966821366679,Suresh Patel,2024-11-12
350919048659,Amit Joshi,2023-03-28
632160299244,Mahesh Shah,2025-10-13
866528205607,Suresh Patel,2023-04-06
602311967996,Amit Joshi,2024-10-21
820995954071,Suresh Patel,2024-12-06
781375196849,Ramesh Patel,2024-04-28
552890930039,Ramesh Patel,2023-05-23
750314760925,Suresh Patel,2023-10-12
239926232289,Amit Joshi,2023-07-18
595605492167,Rmsh Patel,2024-12-20
709325702440,Amit Joshi,2023-11-18
408427489855,Kiran Desai,2024-02-07
530741858165,Ramesh Ptl,2023-01-27
475150705075,Ramesh Patel,2024-11-14
894461615648,Mahesh Shah,2025-08-28
993386854457,Amit Joshi,2023-06-20
385112563173,Amit Joshi,2024-09-13
261566223535,Ramesh Patel,2023-04-10
441231130209,Kiranben Desai,2024-06-20
674810375170,Kiran Desai,2023-12-12
100150248248,Amit Joshi,2025-10-24
763375510128,Ramesh Patel,2023-11-15
378648011570,Mahesh Shah,2023-08-22
129982677122,Maheshbhai Shah,2024-12-09
249657274940,Ramesh Patel,2025-03-16
143876281848,Kiran Desai,2025-03-01
908491227120,Kiran Desai,2024-10-02
882219819740,Suresh Patel,2023-10-23
304625635203,Ramesh Ptl,2024-10-04
734127060552,Maheshbhai Shah,2024-02-16
798581187064,Kiran Desai,2024-11-20
675963398231,Amitbhai Joshi,2024-10-13
314844343060,Ramesh Patel,2023-06-23
996401285846,Mahesh Shah,2025-06-10
480901885846,Amit Joshi,2025-01-25
787225283700,Kiran D.,2024-01-02
787700900030,Mahesh Shah,2025-02-03
370325640651,Kiran Desai,2023-11-29
185670566502,Kiran Desai,2025-01-22
846459700110,Amit Joshi,2025-02-24
400431223222,Ramesh Patel,2023-07-12
488232828526,Ramesh Patel,2023-03-10
679023062315,Suresh Ptl,2023-02-24
674380760837,Kiran Desai,2023-03-20
289404611829,Rmsh Patel,2023-12-09
846677136500,Kiran Desai,2024-01-19
847229689596,Kiranben Desai,2025-11-15
884025779087,Mahesh Shah,2023-01-23
180859640713,Rameshbhai Patel,2023-12-10
203869636828,Suresh Patel,2023-10-05
433783524995,Ramesh Patel,2025-07-18
466935189864,Rameshbhai Patel,2025-02-01
618718483957,Amit Joshi,2024-07-11
554271719568,Kiran Desai,2025-05-16
353260886372,Ramesh Ptl,2023-05-05
691285412403,Amit Joshi,2025-04-29
143829320208,Ramesh Patel,2025-08-07
693871641439,Kiran Desai,2025-02-23
476692129793,Mahesh Shah,2024-04-26
856482891915,Kiran Desai,2024-07-23
648209202959,Suresh Patel,2023-05-30
504977035957,Amit Joshi,2023-06-11
636080887687,Ramesh Patel,2023-07-19
923714639550,Rameshbhai Patel,2024-08-22
253583863072,Kiran D.,2023-04-21
809853008007,Amit Joshi,2024-01-02
362628331230,Suresh Ptl,2023-05-22
700615948715,Ramesh Patel,2025-07-31
573654895156,Mahesh Shah,2024-02-22
999076356349,Mahesh Shah,2025-10-16
901796374937,Amitbhai Joshi,2024-09-09
363661702377,Kiran Desai,2025-06-08
613525981201,Amit Joshi,2023-07-11
983649965648,Kiran Desai,2023-05-03
273856455279,Suresh Patel,2024-05-01
731997600262,Mahesh S.,2025-02-07
291571570802,Kiran Desai,2025-01-11
495136136742,Amit Joshi,2023-02-05
232704063290,Rmsh Patel,2023-09-08
694136380078,Amit Joshi,2025-03-31
601413704665,Amitbhai Joshi,2023-02-17
254879876143,Amit Joshi,2024-07-25
780527419267,Ramesh Patel,2025-11-20
389857112778,Suresh Patel,2025-01-16
374614010331,Amit J.,2024-07-14
585450712194,Suresh Patel,2023-09-21
923248421531,Mahesh Shah,2024-11-18
716193615808,Ramesh Patel,2023-03-22
438269542414,Mahesh Shah,2024-04-15
288380070339,Ramesh Patel,2025-10-16
155390347429,Mahesh S.,2025-10-04
206699900666,Ramesh Patel,2025-06-06
244570607544,Mahesh Shah,2024-09-15
888229661126,Mahesh Shah,2025-07-05
574452896942,Amit Joshi,2023-05-18
992719331874,Amit Joshi,2023-04-22
377621737946,Kiranben Desai,2024-01-24
369289685637,Mahesh Shah,2024-11-23
908459872454,Mahesh Shah,2023-05-04
943162992275,Kiran Desai,2025-06-14
566607360526,Amit Joshi,2023-01-06
984867762642,Mahesh Shah,2025-07-12
450820974384,Kiranben Desai,2024-06-19
990386695457,Amit Joshi,2023-06-20
612023058407,Kiran Desai,2023-11-30
921192384279,Mahesh Shah,2024-12-13
755974166506,Mahesh Shah,2025-09-12
802104876256,Maheshbhai Shah,2023-01-16
752393982097,Kiran Desai,2025-06-16
739966859362,Mahesh Shah,2025-02-22
839836206592,Amit Joshi,2024-06-02
773039711633,Rmsh Patel,2025-12-25
720909153219,Mahesh Shah,2025-06-04
193866156721,Ramesh Patel,2025-06-07
850110681657,Mahesh Shah,2023-09-28
975845455575,Mahesh Shah,2023-09-05
654762636108,Mahesh Shah,2023-10-29
882938160781,Mahesh Shah,2025-10-19
424348873733,Kiran Desai,2024-11-10
100017531033,Kiran Desai,2024-08-30
587468936946,Suresh Patel,2025-11-27
136631086237,Kiran Desai,2024-02-10
247919957707,Mahesh Shah,2025-05-27
725452203902,Amit Joshi,2023-02-28
278264854735,Ramesh Patel,2024-01-26
646280645020,Kiran Desai,2024-05-23
420018509149,Kiran Desai,2025-08-22
672490035667,Amitbhai Joshi,2025-06-08
466947662750,Ramesh Patel,2024-12-07
940633458024,Ramesh Patel,2024-12-14
791400748249,Mahesh S.,2024-05-11
653556295480,Ramesh Patel,2023-07-16
975581526932,Kiran Desai,2025-05-10
113187918329,Maheshbhai Shah,2024-03-02
122916380597,Ramesh Patel,2025-07-02
867900771220,Rmsh Patel,2025-10-01
365544340452,Suresh Ptl,2024-09-14
384083831436,Rameshbhai Patel,2025-02-03
915426512638,Ramesh Patel,2023-06-29
587993386755,Kiran Desai,2024-02-16
118402686115,Amit Joshi,2025-03-03
480286035336,Mahesh Shah,2024-08-06
116113281517,Ramesh Patel,2023-04-27
950056026194,Kiran Desai,2024-02-18
431988054269,Mahesh Shah,2023-10-26
603821263478,Ramesh Patel,2023-05-29
523485945415,Mahesh Shah,2025-12-28
512425878347,Ramesh Patel,2024-09-13
895064079870,Kiran Desai,2023-11-01
330102744094,Ramesh Patel,2023-12-31
848665925969,Amit Joshi,2024-09-27
579171095550,Amit Joshi,2025-06-03
971218672162,Ramesh Ptl,2024-01-05
142015419912,Sureshbhai Patel,2025-10-04
972061396010,Suresh Patel,2025-07-02
658511864721,Kiran Desai,2024-04-03
958641533231,Kiranben Desai,2025-03-02
281613026121,Kiranben Desai,2023-12-29
616195561938,Ramesh Patel,2023-04-20
272921672773,Ramesh Patel,2024-08-26
605645347792,Kiran Desai,2024-05-29
414905137239,Suresh Patel,2024-12-27
286864345876,Ramesh Patel,2025-07-15
931207730414,Kiran Desai,2023-02-15
310593073762,Ramesh Patel,2023-02-14
753596972319,Kiran Desai,2025-04-19
210281711270,Amit Joshi,2024-07-02
592169128491,Ramesh Patel,2023-06-12
761007395060,Amit Joshi,2024-02-29
616540967410,Ramesh Patel,2024-01-12
947666827117,Suresh Patel,2025-11-20
893793620519,Kiran Desai,2025-01-26
100726632601,Maheshbhai Shah,2025-03-09
692591484475,Mahesh Shah,2025-11-27
919502034154,Mahesh Shah,2025-07-26
640794305018,Amitbhai Joshi,2025-03-01
352265379885,Kiran Desai,2023-06-26
859857109026,Ramesh Patel,2024-01-03
694622442351,Mahesh Shah,2024-08-22
669091769822,Kiran Desai,2024-06-13
616665591512,Suresh Patel,2024-05-21
588987938540,Kiran Desai,2025-03-19
167417985921,Mahesh Shah,2023-05-12
120528713795,Rameshbhai Patel,2023-12-14
452178661667,Mahesh Shah,2025-11-27
413203647565,Amit Joshi,2025-05-24
878962120608,Kiran Desai,2024-05-24
610427976975,Suresh Patel,2025-09-25
677874667624,Amit Joshi,2023-03-04
454031131417,Kiran Desai,2024-09-28
594745192267,Suresh Patel,2025-02-28
948423645106,Amit Joshi,2025-03-22
467337402205,Sureshbhai Patel,2024-02-26
841229208673,Amit J.,2023-01-06
855108090358,Suresh Patel,2025-09-17
448077980955,Kiran Desai,2023-11-18
344472847929,Suresh Patel,2024-12-13
433019888522,Ramesh Patel,2024-04-05
467670716757,Kiran Desai,2025-12-11
746388253985,Maheshbhai Shah,2024-07-02
268383639454,Kiran Desai,2023-05-31
316292850384,Mahesh Shah,2024-09-09
567195418612,Maheshbhai Shah,2024-06-19
595975913922,Ramesh Patel,2024-12-08
782546522415,Amit Joshi,2024-05-31
405749555189,Ramesh Patel,2025-11-16
835669187785,Amitbhai Joshi,2024-01-22
689965215679,Amit Joshi,2025-12-28
