beneficiary_id,aadhaar,name,scheme,district,amount,transaction_date,withdrawn,status
B100069,191014894322,Kiran Desai,Scholarship,Bhavnagar,2000,2025-09-02,1,FAILED
B100070,120585489939,Sureshbhai Patel,Scholarship,Surat,3000,2025-01-25,1,FAILED
B100071,704499189734,Kiran Desai,Scholarship,Vadodara,3000,2024-04-17,0,SUCCESS
B100072,230204286982,Suresh Patel,PM-KISAN,Surat,5000,2024-07-20,1,SUCCESS
B100073,314029509095,Mahesh Shah,PM-KISAN,Vadodara,1000,2025-12-29,0,FAILED
B100074,705824576198,Suresh Patel,Pension,Rajkot,1000,2023-01-26,1,FAILED
B100075,583092399018,Ramesh Patel,Scholarship,Rajkot,1000,2023-05-14,1,FAILED
B100076,731678373015,Ramesh Patel,PM-KISAN,Surat,3000,2023-06-24,0,SUCCESS
B100077,939915528141,Amit Joshi,Pension,Surat,5000,2025-07-11,1,FAILED
B100078,747939482105,Mahesh Shah,Pension,Bhavnagar,1000,2023-07-23,0,SUCCESS
B100079,826986119473,Sureshbhai Patel,PM-KISAN,Bhavnagar,1000,2023-11-17,0,FAILED
B100080,857849142762,Mahesh Shah,PM-KISAN,Surat,3000,2024-08-02,1,SUCCESS
B100081,356355366221,Amit Joshi,Pension,Surat,5000,2023-08-24,0,SUCCESS
B100082,395959373593,Ramesh Patel,PM-KISAN,Surat,3000,2024-08-14,1,SUCCESS
B100083,857927286531,Kiran Desai,Scholarship,Bhavnagar,5000,2025-06-15,0,SUCCESS
B100084,576266444796,Amit Joshi,Scholarship,Ahmedabad,1000,2024-04-13,0,FAILED
B100085,145424634923,Suresh Patel,Scholarship,Bhavnagar,5000,2024-07-23,0,FAILED
B100086,996079577156,Ramesh Patel,Scholarship,Vadodara,5000,2024-11-13,1,SUCCESS
B100087,279777594736,Kiran Desai,Scholarship,Rajkot,1000,2025-07-20,0,FAILED
B100088,453271363074,Mahesh S.,Pension,Ahmedabad,5000,2025-04-26,0,SUCCESS
B100089,497363671483,Kiran Desai,Pension,Rajkot,1000,2024-02-21,1,SUCCESS
B100090,417516936790,Kiran Desai,PM-KISAN,Ahmedabad,2000,2023-11-21,1,SUCCESS
B100091,549048500534,Ramesh Ptl,Scholarship,Ahmedabad,2000,2025-10-17,1,FAILED
B100092,368316140875,Suresh Patel,Scholarship,Surat,2000,2023-05-23,1,FAILED
B100093,657434001695,Ramesh Patel,Scholarship,Vadodara,5000,2023-11-01,1,FAILED
B100094,466554516218,Amit Joshi,Scholarship,Rajkot,3000,2024-01-22,0,FAILED
B100095,554302504239,Kiran D.,Pension,Rajkot,5000,2023-11-08,1,SUCCESS
B100096,650298037487,Mahesh Shah,PM-KISAN,Rajkot,1000,2025-12-13,1,SUCCESS
B100097,257721695267,Suresh Patel,PM-KISAN,Rajkot,3000,2024-11-24,1,SUCCESS
B100098,464435556959,Amit Joshi,Scholarship,Vadodara,5000,2023-03-15,0,SUCCESS
B100099,854330092722,Suresh Patel,Pension,Ahmedabad,5000,2023-07-21,0,FAILED
B100100,860923742690,Ramesh Patel,PM-KISAN,Vadodara,1000,2024-08-23,1,FAILED
B100101,260763575623,Kiran Desai,Pension,Surat,2000,2023-12-25,0,FAILED
B100102,849985945258,Amit Joshi,PM-KISAN,Surat,5000,2024-06-04,1,FAILED
B100103,111453993673,Kiran Desai,Scholarship,Bhavnagar,2000,2023-06-01,1,FAILED
B100104,748487026122,Kiran Desai,Pension,Vadodara,5000,2024-09-10,0,FAILED
B100105,631946025298,Mahesh S.,Pension,Vadodara,3000,2024-08-27,0,FAILED
B100106,109768818868,Ramesh Patel,Pension,Rajkot,3000,2024-04-16,1,SUCCESS
B100107,308892683171,Suresh Patel,Pension,Ahmedabad,1000,2024-09-24,1,SUCCESS
B100108,501921209060,Ramesh Patel,Scholarship,Vadodara,5000,2023-12-26,0,SUCCESS
B100109,696083533662,Mahesh Shah,Pension,Bhavnagar,3000,2023-12-03,1,FAILED
B100110,988918145940,Mahesh Shah,PM-KISAN,Rajkot,1000,2023-10-16,0,FAILED
B100111,713341033639,Kiran Desai,PM-KISAN,Vadodara,1000,2025-07-20,1,FAILED
B100112,519122494202,Mahesh Shah,PM-KISAN,Surat,5000,2023-02-21,1,SUCCESS
B100113,171501122551,Kiran Desai,Pension,Vadodara,5000,2023-08-27,0,SUCCESS
B100114,142718868029,Kiran Desai,PM-KISAN,Ahmedabad,2000,2023-10-05,1,FAILED
B100115,836032889947,Amit Joshi,Scholarship,Bhavnagar,2000,2025-04-29,0,FAILED
B100116,549320804913,Mahesh Shah,PM-KISAN,Vadodara,2000,2025-06-27,1,SUCCESS
B100117,498811121833,Amit J.,Scholarship,Bhavnagar,3000,2023-05-05,1,FAILED
B100118,200737244056,Amit Joshi,PM-KISAN,Ahmedabad,3000,2024-05-13,0,SUCCESS
B100119,708876714629,Suresh Patel,PM-KISAN,Vadodara,2000,2023-01-06,1,SUCCESS
B100120,245975318262,Suresh Patel,PM-KISAN,Ahmedabad,2000,2023-01-31,1,SUCCESS
B100121,454716422315,Suresh Ptl,PM-KISAN,Surat,5000,2025-12-13,0,SUCCESS
B100122,591671732584,Amit Joshi,Pension,Ahmedabad,5000,2025-10-28,0,SUCCESS
B100123,962116944078,Amit Joshi,Scholarship,Rajkot,1000,2023-05-05,1,FAILED
B100124,853450108054,Kiran D.,PM-KISAN,Ahmedabad,3000,2023-10-31,0,SUCCESS
B100125,784080984782,Amit Joshi,Pension,Vadodara,5000,2025-12-22,1,FAILED
B100126,763596288927,Ramesh Patel,Pension,Bhavnagar,2000,2025-05-30,1,SUCCESS
B100127,471144503217,Kiran Desai,Scholarship,Ahmedabad,3000,2025-05-24,1,FAILED
B100128,852274855980,Ramesh Patel,PM-KISAN,Ahmedabad,1000,2025-06-03,0,FAILED
B100129,245220443325,Amit Joshi,Pension,Bhavnagar,3000,2023-09-08,0,FAILED
B100130,833896555423,Kiran Desai,Pension,Ahmedabad,3000,2024-10-01,1,SUCCESS
B100131,656532922316,Kiran Desai,PM-KISAN,Ahmedabad,3000,2025-01-22,0,FAILED
B100132,347278876628,Amit Joshi,Pension,Bhavnagar,1000,2024-07-01,0,SUCCESS
B100133,869972833362,Mahesh Shah,Scholarship,Ahmedabad,2000,2023-10-21,1,SUCCESS
B100134,912358165924,Ramesh Patel,PM-KISAN,Bhavnagar,2000,2025-02-09,1,FAILED
B100135,273262828950,Mahesh Shah,Pension,Bhavnagar,1000,2023-04-18,0,SUCCESS
B100136,781845110195,Ramesh Ptl,Scholarship,Rajkot,5000,2025-09-21,1,FAILED
B100137,337396443949,Ramesh Patel,Scholarship,Rajkot,1000,2024-08-03,1,FAILED
B100138,340713234664,Amit Joshi,PM-KISAN,Ahmedabad,2000,2024-09-09,0,SUCCESS
B100139,382454920303,Ramesh Patel,PM-KISAN,Rajkot,5000,2023-12-26,0,FAILED
B100140,875381537047,Amit Joshi,Pension,Vadodara,1000,2025-03-24,0,FAILED
B100141,602591667934,Mahesh Shah,Pension,Rajkot,5000,2025-05-05,1,SUCCESS
B100142,123214436995,Suresh Patel,Pension,Rajkot,3000,2023-06-30,1,SUCCESS
B100143,577786406153,Amit Joshi,PM-KISAN,Rajkot,3000,2024-11-26,0,FAILED
B100144,288029879499,Amit J.,PM-KISAN,Bhavnagar,2000,2024-12-16,1,SUCCESS
B100145,212683916677,Sureshbhai Patel,PM-KISAN,Bhavnagar,2000,2023-06-04,0,FAILED
B100146,930921351388,Amit Joshi,Scholarship,Bhavnagar,3000,2024-10-09,0,FAILED
B100147,615689362779,Mahesh Shah,Scholarship,Bhavnagar,1000,2024-12-21,0,FAILED
B100148,595904407913,Maheshbhai Shah,Scholarship,Ahmedabad,1000,2025-11-04,1,FAILED
B100149,708082884546,Ramesh Patel,Scholarship,Bhavnagar,2000,2024-10-20,1,SUCCESS
B100150,168537895666,Mahesh Shah,Pension,Ahmedabad,2000,2023-03-22,0,FAILED
B100151,585292589726,Amit Joshi,PM-KISAN,Vadodara,3000,2024-08-02,1,FAILED
B100152,472693488384,Ramesh Patel,Pension,Vadodara,1000,2024-11-06,0,FAILED
B100153,376098308926,Amit Joshi,PM-KISAN,Vadodara,1000,2023-10-17,1,FAILED
B100154,821415763294,Kiran Desai,PM-KISAN,Bhavnagar,1000,2024-09-26,1,FAILED
B100155,240931555521,Amit Joshi,PM-KISAN,Rajkot,3000,2023-02-07,1,FAILED
B100156,474582105236,Kiran Desai,PM-KISAN,Surat,2000,2023-11-14,0,FAILED
B100157,966915218789,Kiranben Desai,Pension,Bhavnagar,1000,2024-11-20,0,FAILED
B100158,276756169705,Amitbhai Joshi,PM-KISAN,Rajkot,1000,2025-04-21,1,SUCCESS
B100159,589495655793,Kiran Desai,PM-KISAN,Bhavnagar,2000,2024-09-25,1,SUCCESS
B100160,844609207085,Kiran Desai,Scholarship,Vadodara,5000,2025-10-26,1,SUCCESS
B100161,322551853248,Suresh Patel,Scholarship,Ahmedabad,5000,2025-01-30,0,SUCCESS
B100162,191418649552,Mahesh Shah,Scholarship,Bhavnagar,2000,2025-06-14,0,SUCCESS
B100163,597428952800,Ramesh Patel,Pension,Ahmedabad,5000,2025-10-25,1,SUCCESS
B100164,508372385804,Mahesh Shah,PM-KISAN,Vadodara,2000,2023-10-09,0,FAILED
B100165,866533357163,Kiran Desai,Scholarship,Bhavnagar,1000,2023-06-12,0,FAILED
B100166,701937603321,Amit Joshi,Pension,Rajkot,1000,2024-08-13,0,FAILED
B100167,152062942213,Amit Joshi,Scholarship,Ahmedabad,1000,2025-10-20,0,SUCCESS
B100168,257704947058,Ramesh Patel,Pension,Vadodara,2000,2025-05-03,0,SUCCESS
B100169,174563225376,Amit Joshi,Pension,Bhavnagar,1000,2025-03-10,1,SUCCESS
B100170,527931947563,Mahesh Shah,Pension,Ahmedabad,3000,2023-05-19,1,SUCCESS
B100171,824702463434,Amit Joshi,Pension,Vadodara,2000,2023-04-01,1,FAILED
B100172,807868630522,Amit J.,Scholarship,Rajkot,2000,2023-10-04,0,FAILED
B100173,422281391379,Suresh Patel,PM-KISAN,Vadodara,3000,2025-11-21,1,FAILED
B100174,139742680014,Suresh Patel,Scholarship,Vadodara,1000,2024-11-10,1,SUCCESS
B100175,507160075356,Kiran Desai,Pension,Rajkot,5000,2024-11-25,0,FAILED
B100176,648433258112,Amit Joshi,Scholarship,Ahmedabad,5000,2023-06-11,1,SUCCESS
B100177,424465341900,Ramesh Patel,Scholarship,Vadodara,3000,2025-07-02,1,SUCCESS
B100178,588293821738,Ramesh Patel,Pension,Vadodara,5000,2024-07-16,0,SUCCESS
B100179,802962382098,Amit Joshi,Pension,Surat,1000,2023-10-20,1,SUCCESS
B100180,173556597858,Mahesh Shah,Scholarship,Rajkot,1000,2023-11-11,1,FAILED
B100181,586929089756,Amit Joshi,PM-KISAN,Bhavnagar,3000,2025-03-26,1,FAILED
B100182,126257061879,Kiran Desai,Pension,Rajkot,1000,2024-06-20,1,FAILED
B100183,416160605107,Kiran Desai,PM-KISAN,Ahmedabad,2000,2023-06-01,1,SUCCESS
B100184,885543844896,Ramesh Patel,Pension,Vadodara,3000,2023-05-13,1,FAILED
B100185,275455264013,Suresh Patel,Scholarship,Bhavnagar,2000,2023-09-06,0,SUCCESS
B100186,968600167952,Mahesh Shah,Pension,Bhavnagar,3000,2025-08-15,0,SUCCESS
B100187,439584802361,Kiran Desai,Pension,Rajkot,5000,2023-06-01,0,FAILED
B100188,180068234568,Amit Joshi,Scholarship,Surat,2000,2023-09-22,1,SUCCESS
B100189,236714782517,Mahesh Shah,PM-KISAN,Surat,3000,2024-04-06,1,FAILED
B100190,189532603540,Amit Joshi,Scholarship,Surat,3000,2025-12-28,0,SUCCESS
B100191,269997582302,Amitbhai Joshi,Pension,Bhavnagar,3000,2023-03-26,0,SUCCESS
B100192,948863580109,Suresh Patel,Pension,Rajkot,1000,2025-10-16,1,FAILED
B100193,368362204552,Kiran Desai,Scholarship,Rajkot,1000,2023-05-03,0,FAILED
B100194,630066059214,Mahesh Shah,Pension,Surat,3000,2024-10-15,1,FAILED
B100195,933785291760,Amit Joshi,PM-KISAN,Vadodara,2000,2025-08-13,0,FAILED
B100196,372513939821,Rameshbhai Patel,Scholarship,Rajkot,5000,2024-05-23,0,FAILED
B100197,735370624829,Suresh Patel,PM-KISAN,Rajkot,5000,2025-10-18,1,FAILED
B100198,198883789268,Amit Joshi,Scholarship,Surat,2000,2024-12-23,0,SUCCESS
B100199,642374295556,Kiran Desai,Scholarship,Bhavnagar,1000,2023-08-09,1,SUCCESS
B100200,391552927358,Kiran Desai,Scholarship,Ahmedabad,5000,2023-04-15,0,FAILED
B100201,415908686997,Kiranben Desai,Scholarship,Bhavnagar,3000,2023-09-01,0,SUCCESS
B100202,509713696703,Mahesh Shah,Pension,Vadodara,2000,2024-02-12,1,SUCCESS
B100203,138849282100,Maheshbhai Shah,Scholarship,Bhavnagar,5000,2023-11-02,0,FAILED
B100204,774015096434,Kiran Desai,Pension,Vadodara,3000,2025-11-04,1,FAILED
B100205,995392845738,Maheshbhai Shah,Pension,Ahmedabad,5000,2024-09-22,0,FAILED
B100206,961809200976,Amit Joshi,Pension,Surat,1000,2025-09-10,0,FAILED
B100207,369211672097,Ramesh Ptl,PM-KISAN,Ahmedabad,5000,2024-10-04,1,SUCCESS
B100208,857687894266,Amit Joshi,Pension,Rajkot,1000,2023-10-10,0,FAILED
B100209,830136378095,Kiran Desai,Scholarship,Surat,5000,2025-12-27,1,FAILED
B100210,949011390738,Mahesh Shah,Pension,Rajkot,2000,2024-05-19,1,FAILED
B100211,947386802116,Suresh Patel,Pension,Rajkot,3000,2025-09-09,1,FAILED
B100212,234380032135,Amit Joshi,Scholarship,Rajkot,3000,2023-10-27,1,SUCCESS
B100213,188966559419,Kiran Desai,Pension,Vadodara,5000,2024-03-14,0,FAILED
B100214,718187630594,Suresh Patel,PM-KISAN,Bhavnagar,2000,2024-05-11,0,SUCCESS
B100215,356143021540,Mahesh S.,Scholarship,Rajkot,1000,2023-10-09,0,SUCCESS
B100216,819007192634,Kiran Desai,Scholarship,Surat,3000,2024-10-19,1,SUCCESS
B100217,945713149539,Amitbhai Joshi,PM-KISAN,Bhavnagar,1000,2023-12-25,1,SUCCESS
B100218,537383162273,Suresh Patel,Pension,Vadodara,1000,2023-01-19,1,SUCCESS
B100219,410676640252,Amit Joshi,Pension,Rajkot,2000,2025-10-29,1,FAILED
B100220,989886348922,Rmsh Patel,Pension,Rajkot,3000,2024-01-17,0,FAILED
B100221,425518868472,Suresh Patel,PM-KISAN,Bhavnagar,5000,2025-05-25,1,SUCCESS
B100222,836160973311,Rmsh Patel,Scholarship,Vadodara,2000,2023-01-14,1,FAILED
B100223,836160973311,Mahesh Shah,Scholarship,Bhavnagar,1000,2024-06-19,1,SUCCESS
B100224,830411262281,Suresh Ptl,PM-KISAN,Rajkot,3000,2023-08-29,1,FAILED
B100225,343157964776,Suresh Patel,Scholarship,Surat,5000,2025-02-04,1,FAILED
B100226,691663315274,Suresh Patel,Pension,Bhavnagar,1000,2025-12-12,1,FAILED
B100227,222682170508,Kiranben Desai,Pension,Surat,2000,2023-12-03,1,FAILED
B100228,847823556587,Amit Joshi,Scholarship,Ahmedabad,5000,2023-04-24,1,SUCCESS
B100229,557470916067,Ramesh Patel,Pension,Rajkot,3000,2023-02-14,1,FAILED
B100230,103506639908,Amit Joshi,PM-KISAN,Ahmedabad,5000,2024-12-06,0,SUCCESS
B100231,619406611023,Mahesh S.,PM-KISAN,Surat,5000,2025-02-05,1,FAILED
B100232,516211396374,Amit Joshi,PM-KISAN,Vadodara,1000,2024-01-01,1,SUCCESS
B100233,928943605798,Suresh Ptl,Scholarship,Bhavnagar,5000,2025-12-25,1,SUCCESS
B100234,603574229747,Mahesh Shah,PM-KISAN,Ahmedabad,1000,2025-05-08,0,SUCCESS
B100235,173899557866,Rameshbhai Patel,Scholarship,Bhavnagar,1000,2024-05-16,0,FAILED
B100236,355288401397,Ramesh Patel,PM-KISAN,Bhavnagar,3000,2024-04-24,1,FAILED
B100237,431729976873,Amit Joshi,PM-KISAN,Rajkot,3000,2024-07-17,0,SUCCESS
B100238,845717962258,Kiran Desai,PM-KISAN,Vadodara,5000,2025-12-10,1,FAILED
B100239,264962217070,Suresh Patel,Pension,Rajkot,2000,2024-04-06,1,SUCCESS
B100240,610266923198,Amit Joshi,Scholarship,Rajkot,2000,2025-03-06,0,FAILED
B100241,461650577481,Kiran Desai,Scholarship,Ahmedabad,2000,2023-04-16,1,FAILED
B100242,764318362436,Ramesh Patel,PM-KISAN,Bhavnagar,2000,2025-09-08,0,FAILED
B100243,116789002083,Suresh Patel,Pension,Ahmedabad,5000,2024-05-11,0,FAILED
B100244,365923443265,Mahesh Shah,Scholarship,Rajkot,3000,2024-09-23,1,FAILED
B100245,613236897932,Kiran D.,Scholarship,Surat,3000,2024-10-02,1,SUCCESS
B100246,912699183945,Suresh Ptl,Pension,Bhavnagar,5000,2024-08-27,0,SUCCESS
B100247,350524863789,Suresh Patel,Scholarship,Bhavnagar,3000,2024-06-11,1,FAILED
B100248,286662839208,Mahesh Shah,PM-KISAN,Surat,5000,2024-01-12,0,SUCCESS
B100249,837952673289,Rameshbhai Patel,Scholarship,Surat,2000,2023-05-20,0,SUCCESS
B100250,654990175020,Ramesh Patel,Pension,Bhavnagar,5000,2025-09-26,0,SUCCESS
B100251,707876223942,Ramesh Patel,Pension,Vadodara,3000,2023-02-05,1,SUCCESS
B100252,675939282671,Sureshbhai Patel,Pension,Bhavnagar,3000,2024-12-26,1,FAILED
B100253,508361278207,Kiran Desai,Pension,Surat,2000,2024-09-06,0,SUCCESS
B100254,542783213089,Amit Joshi,Scholarship,Ahmedabad,1000,2023-12-17,0,FAILED
B100255,580372033675,Mahesh Shah,Pension,Ahmedabad,1000,2024-04-15,0,FAILED
B100256,148408984648,Mahesh Shah,Pension,Bhavnagar,1000,2024-01-03,1,SUCCESS
B100257,331762745410,Kiran Desai,PM-KISAN,Vadodara,2000,2024-05-07,1,FAILED
B100258,930577295063,Ramesh Patel,Pension,Vadodara,1000,2023-07-20,1,SUCCESS
B100259,185206458852,Amit Joshi,Pension,Rajkot,3000,2023-03-02,1,FAILED
B100260,351215228975,Kiran Desai,Scholarship,Surat,5000,2023-06-25,1,SUCCESS
B100261,180372189178,Rmsh Patel,Scholarship,Surat,5000,2024-10-10,1,SUCCESS
B100262,104688044575,Kiran Desai,Scholarship,Vadodara,1000,2023-09-29,0,SUCCESS
B100263,591477314669,Amit Joshi,Scholarship,Ahmedabad,1000,2023-07-03,1,SUCCESS
B100264,759693767724,Kiran Desai,PM-KISAN,Vadodara,5000,2025-03-05,0,SUCCESS
B100265,673687201701,Mahesh S.,PM-KISAN,Surat,3000,2024-09-08,1,FAILED
B100266,169346262044,Suresh Ptl,Scholarship,Vadodara,5000,2023-06-07,1,FAILED
B100267,374638343525,Kiran Desai,Pension,Bhavnagar,2000,2025-07-26,0,SUCCESS
B100268,105603463447,Mahesh Shah,Pension,Rajkot,3000,2025-06-20,1,FAILED
B100269,816656131881,Suresh Patel,Scholarship,Vadodara,2000,2025-09-08,1,SUCCESS
B100270,537934513371,Mahesh Shah,Pension,Rajkot,2000,2024-10-29,1,FAILED
B100271,966795243734,Ramesh Patel,Pension,Surat,2000,2023-02-25,1,SUCCESS
B100272,978056478079,Ramesh Patel,Scholarship,Rajkot,2000,2024-09-12,0,FAILED
B100273,270332660466,Kiran Desai,PM-KISAN,Rajkot,5000,2025-03-31,1,SUCCESS
B100274,870343313387,Amit Joshi,Pension,Ahmedabad,1000,2024-05-23,1,SUCCESS
B100275,772793741349,Amit J.,Pension,Rajkot,3000,2025-05-31,0,SUCCESS
B100276,383891353475,Amit Joshi,Pension,Bhavnagar,2000,2025-07-01,1,FAILED
B100277,948097398654,Amit Joshi,PM-KISAN,Vadodara,1000,2025-09-15,0,FAILED
B100278,194324902957,Rmsh Patel,Scholarship,Vadodara,3000,2025-07-21,0,FAILED
B100279,621186981193,Kiran D.,Scholarship,Ahmedabad,3000,2023-04-02,0,SUCCESS
B100280,477309355122,Suresh Patel,Pension,Surat,2000,2023-11-24,1,FAILED
B100281,610922706541,Kiran Desai,Pension,Surat,2000,2025-06-04,1,SUCCESS
B100282,777476924384,Kiran Desai,Pension,Rajkot,5000,2023-01-10,0,SUCCESS
B100283,925829202760,Ramesh Patel,Pension,Ahmedabad,2000,2025-01-19,1,SUCCESS
B100284,226519215686,Kiran Desai,Pension,Vadodara,5000,2025-03-14,0,FAILED
B100285,780571329007,Amit J.,PM-KISAN,Vadodara,1000,2023-10-02,1,SUCCESS
B100286,436032111165,Maheshbhai Shah,Pension,Surat,5000,2025-05-06,0,FAILED
B100287,303680400651,Amit Joshi,Pension,Surat,2000,2025-09-29,1,SUCCESS
B100288,444400965952,Amit Joshi,PM-KISAN,Vadodara,1000,2025-09-19,0,SUCCESS
B100289,524408120800,Amit Joshi,Pension,Rajkot,5000,2025-10-04,1,FAILED
